Question	Answer	Source
Office workspaces	**Tier status:**\n\nWidespread (purple): Remote work\n\nSubstantial (red): Remote work\n\nModerate (orange): Indoor with modifications, encourage telework\n\nMinimal (yellow): Indoor with modifications, encourage telework\n\nFollow this [guidance for office workspaces](https://files.covid19.ca.gov/pdf/guidance-office-workspaces--en.pdf) to create a safer environment for workers.\n\nReview the guidance, prepare a plan, and post the [checklist for office workspaces](https://files.covid19.ca.gov/pdf/checklist-office-workspaces--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nFaith-based office workspaces can reopen within the following parameters:\n\n1.  Faith-based facilities are considered “offices” only for those employed by the organization and where the facility is their regular place of work.\n2.  The employer should implement state guidance relating to offices before reopening the facility for employees.\n3.  This designation does not permit gatherings of non-employees, such as the organization’s congregation.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Outdoor recreation, including campgrounds and playgrounds – updated September 29	Follow this [guidance for campgrounds](https://files.covid19.ca.gov/pdf/guidance-campgrounds-outdoor-recreation--en.pdf), RV parks, and outdoor recreation to create a safer environment for workers and patrons.\n\nReview the guidance and prepare a plan for your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nOutdoor playgrounds can open with modifications in all tiers. See [requirements for outdoor playgrounds](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Outdoor%20Playgrounds%20and%20other%20Outdoor%20Recreational%20Facilities.aspx) to keep them safe and fun for everyone.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Personal care services – updated September 24	**Tier status:**\n\nWidespread (purple): \n\n*   Tattooing, piercing, and non-medical electrolysis must close and cannot be performed outdoors\n*   Nail services and physician-ordered electrolysis may be performed indoors\n*   All other services must be performed outdoors only with modifications\n\nSubstantial (red): Indoor with modifications\n\nModerate (orange): Indoor with modifications\n\nMinimal (yellow): Indoor with modifications\n\nFollow this [guidance for personal care services](https://files.covid19.ca.gov/pdf/guidance-expanded-personal-care-services--en.pdf) like nail salons, tattoo parlors, and body waxing to create a safer environment for workers and patrons. This guidance applies to services that require touching a client’s face, like facials, electrolysis, and waxing. It also applies to esthetic services, skin care, and massage therapy. Review the guidance, prepare a plan, and post the [checklist for personal care services](https://files.covid19.ca.gov/pdf/checklist-expanded-personal-care-services--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nThis guidance and checklist include additional considerations for:\n\n*   Esthetic and skin care services\n*   Electrology services\n*   Nail services\n*   Body art professionals, tattoo parlors, and piercing shops\n*   Massage services (in non-healthcare settings)\n*   Providing services outdoors\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Places of worship and cultural ceremonies	**Tier status:**\n\nWidespread (purple): Outdoor only with modifications\n\nSubstantial (red)\n\n*   Indoor with modifications\n*   Indoor activities must be limited to 25% of capacity or 100 people, whichever is less\n\nModerate (orange)\n\n*   Indoor with modifications\n*   Indoor activities must be limited to 50% of capacity or 200 people, whichever is less\n\nMinimal (yellow)\n\n*   Indoor with modifications\n*   Indoor activities must be limited to 50% of capacity\n\nFollow this [guidance for places of worship](https://files.covid19.ca.gov/pdf/guidance-places-of-worship--en.pdf) and providers of religious services and cultural ceremonies, like weddings and funerals, to create a safer environment for workers and visitors.\n\nReview the guidance, prepare a plan, and post the [checklist for places of worship](https://files.covid19.ca.gov/pdf/checklist-places-of-worship--en.pdf) and cultural ceremonies in your workplace to show workers and visitors that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Ports	Follow this [guidance for the port industry](https://files.covid19.ca.gov/pdf/guidance-ports--en.pdf) to create a safer environment for workers.\n\nReview the guidance, prepare a plan, and post the [checklist for the port industry](https://files.covid19.ca.gov/pdf/checklist-ports--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Professional sports (without live audiences)	Professional sports may resume training and competition without live audiences, subject to approval by county public health officers. This guidance does not apply to semi-professional, amateur, or recreational sports.  \n  \nTo reduce the risk of COVID-19 transmission, athletes, coaching staff, medical staff, broadcasting staff and others at sporting facilities or events should abide by COVID-19 protocols agreed by labor and management, which may be further enhanced by county public health officers. Back office staff and management should follow the [guidance for office workspaces](https://files.covid19.ca.gov/pdf/guidance-office-workspaces--en.pdf).\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Public transit and intercity passenger rail	Follow this [guidance for public transit agencies](https://files.covid19.ca.gov/pdf/guidance-transit-rail--en.pdf) to create a safer environment for workers and customers.\n\nReview the guidance, prepare a plan, and post the [checklist for public transit agencies](https://files.covid19.ca.gov/pdf/checklist-transit-rail--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Real estate transaction	Follow this [guidance for businesses operating in the real estate industry](https://files.covid19.ca.gov/pdf/guidance-real-estate--en.pdf) to create a safer environment for workers.\n\nReview the guidance, prepare a plan, and post the [checklist for the real estate industry](https://files.covid19.ca.gov/pdf/checklist-real-estate--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Restaurants, wineries, and bars	**Tier status:**\n\nWidespread (purple)\n\n*   Restaurants and wineries: Outdoor only with modifications\n*   Bars, breweries, and distilleries: Closed\n\nSubstantial (red)\n\n*   Restaurants: \n    *   Indoor with modifications\n    *   Capacity must be limited to 25% or 100 people, whichever is less\n*   Wineries: Outdoor only with modifications\n*   Bars, breweries, and distilleries: Closed\n\nModerate (orange)\n\n*   Restaurants: \n    *   Indoor with modifications\n    *   Capacity must be limited to 50% or 200 people, whichever is less\n*   Wineries:\n    *   Indoor with modifications\n    *   Capacity must be limited to 25% or 100 people, whichever is less\n*   Bars, breweries, and distilleries: Outdoor only with modifications\n\nMinimal (yellow)\n\n*   Restaurants: \n    *   Indoor with modifications\n    *   Capacity must be limited to 50%\n*   Wineries:\n    *   Indoor with modifications\n    *   Capacity must be limited to 50% or 200 people, whichever is less\n*   Bars, breweries, and distilleries: \n    *   Indoor with modifications\n    *   Capacity must be limited to 50%\n\nTake-out restaurants\n\n*   Follow this [guidance for restaurants providing take-out, drive-through, and delivery](https://files.covid19.ca.gov/pdf/guidance-take-out-restaurants--en.pdf) to create a safer environment for workers and patrons.\n*   Review the guidance and prepare a plan for your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nOutdoor dining\n\n*   Follow this [guidance for restaurants providing outdoor dining, take-out, drive-through, and delivery](https://files.covid19.ca.gov/pdf/guidance-outdoor-restaurants--en.pdf) to create a safer environment for workers and patrons.\n*   Review the guidance and prepare a plan for your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nRestaurants, wineries, and bars\n\n*   Follow this [guidance for restaurants, wineries, and bars](https://files.covid19.ca.gov/pdf/guidance-restaurants-bars-wineries--en.pdf) to create a safer environment for workers and patrons.\n*   Review the guidance, prepare a plan, and post the [checklist for restaurants, wineries, and bars](https://files.covid19.ca.gov/pdf/checklist-restaurants-bars--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business. \n\nDine-in restaurants\n\n*   Follow this [guidance for dine-in restaurants](https://files.covid19.ca.gov/pdf/guidance-dine-in-restaurants--en.pdf) to create a safer environment for workers and customers.\n*   Review the guidance, prepare a plan, and post the [checklist for dine-in restaurants](https://files.covid19.ca.gov/pdf/checklist-dine-in-restaurants--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Retail	**Tier status:**\n\nWidespread (purple)\n\n*   Open with modifications\n*   Retail capacity must be limited to 25%\n*   Grocery store capacity must be limited to 50%\n\nSubstantial (red)\n\n*   Open with modifications\n*   Retail capacity must be limited to 50%\n\nModerate (orange): Indoor with modifications\n\nMinimal (yellow): Indoor with modifications\n\nFollow this [guidance for retailers](https://files.covid19.ca.gov/pdf/guidance-retail--en.pdf) to create a safer environment for workers and customers. Review the guidance, prepare a plan, and post the [checklist for retail](https://files.covid19.ca.gov/pdf/checklist-retail--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nRetailers and libraries can re-open, along with the manufacturing and logistics sectors that support retail.  \n  \nLibraries should follow the [guidance for retailers](https://files.covid19.ca.gov/pdf/guidance-retail--en.pdf). The State Library has also released guidance for the [re-opening of libraries for in-person services](https://library.ca.gov/Content/pdf/services/toLibraries/COVIDGuidanceLibraries.pdf). See the [State Library’s COVID-19 website](https://www.library.ca.gov/covid-19) for more information. Find [resources for public libraries](https://www.cla-net.org/page/7-1) by the California Library Association and the State Library.  \n  \nDrive-in and movie theaters can re-open with additional considerations. Check the [guidance for movie theaters and family entertainment centers](https://covid19.ca.gov/industry-guidance/#movie-theaters-entertainment) for details.\n\nRetail doesn’t include personal services such as beauty salons, but does include the sale of goods such as:\n\n*   Bookstores\n*   Jewelry stores\n*   Toy stores\n*   Clothing and shoe stores\n*   Home and furnishing stores\n*   Sporting goods stores\n*   Florists\n\nRetail stores identified in the [essential workforce list](https://covid19.ca.gov/essential-workforce/) can open for in-store shopping. They include:\n\n*   Retail facilities specializing in medical goods and supplies\n*   Grocery stores, pharmacies, convenience stores, and other retail that sells food or beverage products, and animal/pet food\n*   Fuel centers such as gas stations and truck stops\n*   Hardware and building materials stores, consumer electronics, technology and appliances retail\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Schools	Find information for [your school district](https://www.cde.ca.gov/schooldirectory).\n\nFollow this [guidance for schools and school-based programs](https://files.covid19.ca.gov/pdf/guidance-schools--en.pdf) to create a safer environment for your students, families, and staff. This guidance applies to in-person learning and distance learning.\n\n*   Review the guidance, prepare a plan, and post the [checklist for schools](https://files.covid19.ca.gov/pdf/checklist-schools--en.pdf) in your facility to show students, families, and staff that you’ve taken steps to mitigate COVID-19 spread.\n*   Check the answers to [frequently asked questions](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Schools-FAQ.aspx) about guidance for schools. \n*   Follow the [guidance related to cohorts](https://covid19.ca.gov/industry-guidance/#cohort-guidance) of children and youth.\n*   See the [California Interscholastic Federation statement](https://cifstate.org/mediacenter/releases/2019-20/PR-34_7.20.20_CIF_Statement_2020-21_Sports_Calendar_Final.pdf) for information about seasonal sports.\n\nSome schools may have reopened based on the [COVID-19 and Reopening In-Person Learning Framework for K-12 Schools](https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Schools%20Reopening%20Recommendations.pdf). These schools should follow the guidance on school closure provided in that framework when determining whether to close due to COVID-19 spread.\n\nElementary education waiver:\n\n*   See the [Waiver Process Overview](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/In-Person-Elementary-Waiver-Process.aspx) for details.\n*   Local health officers will need to submit the [Waiver Notice Form](https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/CDPH-Waiver-Notice_8.3.2020.pdf) to CDPH.\n*   Schools seeking a waiver can use the template [Waiver Letter and Cover Form](https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Waiver-Letter-Template-Cover-Form_8.3.2020.pdf).\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Shopping centers	**Tier status:**\n\nWidespread (purple):\n\n*   Open with modifications\n*   Indoor capacity must be limited to 25% for shopping malls, destination shopping centers, and swap meets\n*   Closed common areas\n*   Closed food courts\n\nSubstantial (red):\n\n*   Open with modifications\n*   Indoor capacity must be limited to 50% for shopping malls, destination shopping centers, and swap meets\n*   Closed common areas\n*   Reduced capacity food courts (see [restaurants](https://covid19.ca.gov/industry-guidance/#restaurants))\n\nModerate (orange):\n\n*   Open with modifications\n*   Closed common areas\n*   Reduced capacity food courts (see [restaurants](https://covid19.ca.gov/industry-guidance/#restaurants))\n\nMinimal (yellow):\n\n*   Open with modifications\n*   Reduced capacity food courts (see [restaurants](https://covid19.ca.gov/industry-guidance/#restaurants))\n\nFollow this [guidance for shopping centers](https://files.covid19.ca.gov/pdf/guidance-shopping-centers--en.pdf), destination shopping centers, strip and outlet malls, and swap meets to create a safer environment for workers and customers. \n\nReview the guidance, prepare a plan, and post the [checklist for shopping centers](https://files.covid19.ca.gov/pdf/checklist-shopping-centers--en.pdf) in your workplace to show customers and employees that you’ve reduced the risk and are open for business.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Support for working families	The [support for working families](https://files.covid19.ca.gov/pdf/guidance-support-working-families--en.pdf) guidance provides information to help you locate child care, find assistance to pay for child care, and connect you to additional supports for your family. As stay-at-home orders are lifted for additional industries to promote California’s economic recovery, the need for child care and other supports for working families increases.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Youth sports	Follow this [guidance for youth sports](https://files.covid19.ca.gov/pdf/guidance-youth-sports--en.pdf) programs, including school-based, club, and recreational programs. Review the guidance and prepare a plan to support a safe environment for players, coaches and trainers, families, spectators, event/program/facility managers, workers, and volunteers. \n\n*   Check the [questions and answers](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Youth-Sports-FAQ.aspx) about youth sports.\n*   Follow the [guidance related to cohorts](https://covid19.ca.gov/industry-guidance/#cohort-guidance) of children and youth.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
What is a cohort?	A cohort is a stable group of no more than 14 children or youth and no more than two supervising adults in a supervised environment. The group stays together for all activities, including meals and recreation. And this group avoids contact with anyone not in their group. Check the guidance about [cohorts for children and youth.](https://covid19.ca.gov/industry-guidance/#cohort-guidance)\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)<!-- pod, gathering, youth, kid, school, class, distance, learning, hub -->	https://covid19.ca.gov/industry-guidance/
Are college sports allowed?	Guidelines for resuming collegiate athletic training and competition are in the interim [guidance for higher education](https://covid19.ca.gov/industry-guidance/#higher-education).\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
What guidance applies to cosmetology?	Check the guidance for [hair salons and barbershops](https://covid19.ca.gov/industry-guidance/#hair-salons-guidance). And check the guidance for [personal care services](https://covid19.ca.gov/industry-guidance/#personal-care-services), such as nails, waxing, and facials.\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)<!-- face, electrolysis, esthetic, skin, electrology, body art, tattoo, permanent makeup, piercing shops, massage, esthetician, manicure -->	https://covid19.ca.gov/industry-guidance/
Where can I find the list of essential workers?	See the [essential workforce list](https://covid19.ca.gov/essential-workforce/).\n\nMore info: [Industry guidance to reduce risk](https://covid19.ca.gov/industry-guidance/)	https://covid19.ca.gov/industry-guidance/
Tools for families facing stress	*   [**Noggin’s Navigating the New Normal: Parents Edition**](https://www.noggin.com/navigating-the-new-normal-parents-edition/) (video)  \n    Host Jamie-Lynn Sigler asks Dr. Nadine Burke Harris and other leading experts how to handle the stress of the pandemic on little kids. \n*   [**How to Support Our Kids During COVID-19**](https://podcasts.apple.com/us/podcast/how-to-support-our-kids-during-covid-19-dr-nadine-burke/id1468607534?i=1000470057466) (Apple podcast)  \n    Dr. Burke Harris shares advice on how to talk to your kids about COVID-19, what all of us can do to help, and how to mitigate stress while stuck at home.  \n*   [**FOCUS on the GO!**](https://nfrc.ucla.edu/focus-on-the-go) (app)  \n    Free mobile app designed to help your family enhance existing coping skills and develop new ones through gameplay.\n*   [**Young Children at Home During the COVID-19 Outbreak: The Importance of Self-Care**](https://www.zerotothree.org/resources/3262-young-children-at-home-during-the-covid-19-outbreak-the-importance-of-self-care) (article)  \n    Knowing how to take care of yourself as a caregiver during the COVID-19 outbreak is key to ensure you are most effective in parenting.\n\nMore info: [Manage stress for health](https://covid19.ca.gov/manage-stress-for-health/)	https://covid19.ca.gov/manage-stress-for-health/
Tools for parents to help children	*   [**California Surgeon General’s Playbook: Stress Relief for Caregivers and Kids During COVID-19**](https://files.covid19.ca.gov/pdf/caregivers_and_kids_california_surgeon_general_stress_busting_playbook_draft_v2_clean_ada_04072020v2.pdf) (PDF)  \n    This guide can help you understand what signs of stress to look out for and what you can do to protect your family’s health. It is also available in [Arabic](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook_arabic-2.pdf), Chinese ([Simplified](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook_ch_simplified.pdf) and [Traditional](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook_zh-hant.pdf)), [Korean](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook_korean.pdf), [Spanish](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook-spanish.pdf), [Tagalog](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook_tagalog.pdf), and [Vietnamese](https://files.covid19.ca.gov/pdf/wp/osg-caregivers-and-kids-playbook_vi.pdf).\n*   [**Trauma Informed Parent: Helping Adults and Children With Trauma During the Pandemic**](https://www.youtube.com/watch?v=57EAL_e5Nf0) (video)  \n    California’s Surgeon General provides context and tools for how to help kids who have endured past trauma through current stress. \n*   [**Emotional Wellbeing during the COVID-19 Pandemic**](https://www.childtrends.org/publications/resources-for-supporting-childrens-emotional-well-being-during-the-covid-19-pandemic) (guide)  \n    Supporting children’s emotional wellbeing during the COVID-19 pandemic is key to adjusting to a new sense of normal.\n\nMore info: [Manage stress for health](https://covid19.ca.gov/manage-stress-for-health/)	https://covid19.ca.gov/manage-stress-for-health/
Tools for families with school-related stress	*   [**School’s Out: A Parent’s Guide for Meeting the Challenge During the COVID-19 Pandemic**](https://nyulangone.org/news/schools-out-parents-guide-meeting-challenge-during-covid-19-pandemic) (article)  \n    Understanding a child’s need for structure, education, exercise, social contact, appropriate leisure time, and a calm, rational explanation about COVID-19 is key to ensuring healthy adaptation for youth.\n*   [**The Secret to Keeping Your Kids Happy, Busy and Learning if Their School Closes Due to Coronavirus**](https://time.com/5803373/coronavirus-kids-at-home-activities/) (article)  \n    This article identifies key elements to supporting children and youth as they transition to home-based learning.\n*   [**How LGBTQ Youth Can Cope with Anxiety and Stress During COVID-19**](https://www.thetrevorproject.org/2020/03/26/how-lgbtq-youth-can-cope-with-anxiety-and-stress-during-covid-19/) (blog post)   \n    Advice from The Trevor Project to help LGBTQ youth face the additional isolation and stress they experience during COVID-19. \n\nMore info: [Manage stress for health](https://covid19.ca.gov/manage-stress-for-health/)	https://covid19.ca.gov/manage-stress-for-health/
Should I wear a mask or face covering to protect against COVID-19?	Yes. Californians must wear face coverings when in public spaces, especially indoors and other areas where physical distancing is not possible. Face coverings help reduce the spread of COVID-19. \n\nThe California Department of Public Health (CDPH) has released [guidance for the use of face coverings](https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Guidance-for-Face-Coverings_06-18-2020.pdf). \n\nThe guidance reminds Californians that the best defense against COVID-19 continues to be: \n\n*   Maintain six feet of physical distance from others \n*   Wash hands frequently\n*   Avoid touching eyes, nose and mouth with unwashed hands\n*   Avoid being around people with COVID-19 symptoms\n\nMore info: [Masks and face coverings](https://covid19.ca.gov/masks-and-ppe/)	https://covid19.ca.gov/masks-and-ppe/
What is a face covering?	A face covering, also known as a cloth mask, is [material that covers the nose and mouth](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html). It can be secured to the head with ties or straps or simply wrapped around the lower face. It can be made of a variety of materials, such as cotton, silk, or linen. A face covering may be factory-made or sewn by hand, or can be improvised from household items such as scarfs, T-shirts, sweatshirts, or towels.\n\nMore info: [Masks and face coverings](https://covid19.ca.gov/masks-and-ppe/)	https://covid19.ca.gov/masks-and-ppe/
How well do face coverings prevent spread of COVID-19?	There is scientific evidence to suggest that use of masks or face coverings reduces disease transmission. Their primary role is to reduce the release of infectious particles into the air when someone speaks, coughs, or sneezes. Face coverings are not a substitute for physical distancing, washing hands, and staying home when ill, but complements them.\n\nMore info: [Masks and face coverings](https://covid19.ca.gov/masks-and-ppe/)	https://covid19.ca.gov/masks-and-ppe/
How should I care for a cloth mask or face covering?	It’s a good idea to [wash your face covering](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html) frequently, ideally after each use. Have a bag or bin to keep face coverings in until they can be laundered with detergent and hot water and dried on a hot cycle. If you must re-wear your face covering before washing, wash your hands immediately after putting it back on and avoid touching your face. Discard face coverings that:\n\n*   No longer cover the nose and mouth\n*   Have stretched out or damaged ties or straps\n*   Cannot stay on the face\n*   Have holes or tears in the fabric\n\nSee advice from the CDC on [how to select, wear, and clean your mask](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/about-face-coverings.html).\n\nMore info: [Masks and face coverings](https://covid19.ca.gov/masks-and-ppe/)	https://covid19.ca.gov/masks-and-ppe/
Are face shields acceptable as face coverings to prevent spread of COVID-19?	Face shields are not recommended as a substitute for masks or face coverings. They primarily provide eye protection for the person wearing it. It is unknown what level of protection a face shield provides to people nearby.\n\n[CDC has detailed recommendations](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover-guidance.html) for situations where face shields are the only option.\n\nMore info: [Masks and face coverings](https://covid19.ca.gov/masks-and-ppe/)	https://covid19.ca.gov/masks-and-ppe/
Is there any proof that masks are effective in preventing coronavirus infection?	Yes. The CDC has collected evidence on the [effectiveness of masks](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover-guidance.html). \n\nMasks create a barrier that helps prevent respiratory droplets from traveling into the air and onto other people when the wearer coughs, sneezes, talks, or raises their voice. COVID-19 spreads mainly among people who are in close contact with one another (within about 6 feet). Using a mask is important in settings where people are close to each other or where it’s difficult to keep physical distance from others.\n\nMore info: [Masks and face coverings](https://covid19.ca.gov/masks-and-ppe/)	https://covid19.ca.gov/masks-and-ppe/
Is blood plasma authorized as a COVID-19 treatment?	[The FDA issued an Emergency Use Authorization (EUA)](https://www.fda.gov/news-events/press-announcements/fda-issues-emergency-use-authorization-convalescent-plasma-potential-promising-covid-19-treatment) for convalescent plasma to treat hospitalized COVID-19 patients.\n\nThe FDA determined that it is reasonable to believe that COVID-19 convalescent plasma may be effective in making  COVID-19 illness shorter and less severe in some patients. The FDA also determined that the known and potential benefits of this plasma, when used to treat COVID-19, outweigh its known and potential risks. There are no adequate, approved, or available alternative treatments.\n\nMore info: [Survivors of COVID-19: Donate your plasma](https://covid19.ca.gov/plasma/)	https://covid19.ca.gov/plasma/
Is there a convalescent blood plasma donation center near me?	Locate a donation center\n------------------------\n\nFind the blood center near you collecting COVID-19 blood plasma.\n\n[See the plasma donation center lookup](https://covid19.ca.gov/plasma/#plasma-lookup)\n\nMore info: [Survivors of COVID-19: Donate your plasma](https://covid19.ca.gov/plasma/)	https://covid19.ca.gov/plasma/
Youth and Teens	*   [California Youth Crisis Line](https://calyouth.org/cycl/)**:** Youth ages 12-24 can call or text [800-843-5200](tel:800-843-5200) or [chat online](https://m2.icarol.com/ConsumerRegistration.aspx?org=53141&pid=326&cc=en-US) for 24/7 crisis support.\n*   [TEEN LINE](https://teenlineonline.org/talk-now/): Teens can talk to another teen by texting “TEEN” to [839863](sms:839863) from 6pm – 9pm, or call [800-852-8336](tel:800-852-8336) from 6pm – 10pm.\n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
Veterans	[Veterans Crisis Line](https://www.veteranscrisisline.net): Call [800-273-8255](tel:800-273-8255) and Press 1 or text [838255](sms:838255) for 24/7 support.\n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
First Responders and Law Enforcement	*   [Fire/EMS helpline](https://www.nvfc.org/fireems-helpline/): Call [888-731-FIRE](tel:888-731-FIRE) to get 24/7 help for a variety of behavioral health issues.\n*   [COPLINE](https://www.copline.org/): Call [800-267-5463](tel:800-267-5463) to find support 24/7 for law enforcement officers.\n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
Older Californians	*   [Friendship Line](https://www.ioaging.org/services/all-inclusive-health-care/friendship-line): Call [888-670-1360](tel:888-670-1360) for 24/7 support if you are 60 years or older, or an adult living with disabilities.  \n*   California Aging and Adult Information Line: Call [800-510-2020](tel:800-510-2020) for help finding local assistance. \n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
Deaf and Hard of Hearing Individuals	[National Suicide Prevention Deaf and Hard of Hearing Hotline](https://suicidepreventionlifeline.org/help-yourself/for-deaf-hard-of-hearing/): Access 24/7 video relay service by dialing [800-273-8255](tel:800-273-8255) (TTY [800-799-4889](tel:800-799-4889)).\n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
Services for Substance Use Disorders	*   [SAMHSA National Helpline](https://www.samhsa.gov/find-help/national-helpline): Call [800-662-HELP](tel:1-800-662-4357) for 24/7 information and referrals in English and Spanish. \n*   [SAMHSA Treatment Locator](https://findtreatment.samhsa.gov)**:**  Find drug or alcohol treatment programs. \n*   [Local county access lines](https://gcc01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.dhcs.ca.gov%2Findividuals%2FPages%2FSUD_County_Access_Lines.aspx&data=02%7C01%7CJanne.Olson-Morgan%40osg.ca.gov%7C122307be91754d12e5dc08d7d984f958%7C265c2dcd2a6e43aab2e826421a8c8526%7C0%7C0%7C637217037446186621&sdata=5sx4UdIlVkRL%2BEJR7FrpK0gYAn20yE71TyBDFIw1kJM%3D&reserved=0): Find your local number for help seeking substance use disorder services.\n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
LGBTQ Individuals	*   [Trevor Project](https://www.thetrevorproject.org): Call [866-488-7386](tel:866-488-7386) or text START to [678678](sms:678678) for 24/7 information and suicide prevention resources for LGBTQ youth.\n*   [Lesbian, Gay, Bisexual and Transgender National Hotline](https://www.glbthotline.org/hotline.html): Call [800-273-8255](tel:800-273-8255) from 1pm – 9pm for support, information or help finding resources.\n*   [Victims of Crime Resource Center](https://1800victims.org/): Call or text [800-842-8467](tel:800-842-8467) or [chat online](https://1800victims.org/) for information about LGTBQ rights, legal protections, and local resources.\n\nMore info: [Resources for emotional support and well-being](https://covid19.ca.gov/resources-for-emotional-support-and-well-being/)	https://covid19.ca.gov/resources-for-emotional-support-and-well-being/
